Country,countrycode,region,students
"Korea, Dem People���S Rep",PRK,East Asia and Pacific,6679728.0
Vietnam,VNM,East Asia and Pacific,6963903.0
Australia,AUS,East Asia and Pacific,8151086.0
Myanmar,MMR,East Asia and Pacific,9118549.0
Poland,POL,Europe and Central Asia,11021514.0
Colombia,COL,Latin America and Caribbean,11452806.0
Argentina,ARG,Latin America and Caribbean,11907365.0
Spain,ESP,Europe and Central Asia,11925594.0
Egypt,EGY,Middle East and North Africa,12292342.0
Thailand,THA,East Asia and Pacific,12680068.0
Ukraine,UKR,Europe and Central Asia,13085616.0
Turkey,TUR,Europe and Central Asia,13446868.0
"Korea, Rep",KOR,East Asia and Pacific,14692294.0
Guatemala,GTM,Latin America and Caribbean,15508030.0
Canada,CAN,North America,15739589.0
France,FRA,Europe and Central Asia,16069902.0
Italy,ITA,Europe and Central Asia,16490616.0
Indonesia,IDN,East Asia and Pacific,17201532.0
Iran,IRN,Middle East and North Africa,17325572.0
Germany,DEU,Europe and Central Asia,18990964.0
Japan,JPN,East Asia and Pacific,26212898.0
Mexico,MEX,Latin America and Caribbean,28615985.0
Brazil,BRA,Latin America and Caribbean,32573449.0
United Kingdom,GBR,Europe and Central Asia,32752878.0
Russian Federation,RUS,Europe and Central Asia,34933929.0
Philippines,PHL,East Asia and Pacific,38929878.0
United States,USA,North America,53203189.0
China,CHN,East Asia and Pacific,63595771.0
India,IND,South Asia,97583864.0
